* f   0 0 0 0 0 0 0 0 0 0 0  0
* f   0 0 0 0 0 0 0 0 0 0 0  3
* f   0 0 0 0 0 0 0 0 0 0 0  6
* f   0 0 0 0 0 0 0 0 0 0 0  9
* f   0 0 0 0 0 0 0 0 0 0 0  12
* f   0 0 0 0 0 0 0 0 0 0 0  15
* f   0 0 0 0 0 0 0 0 0 0 0  18
* f   0 0 0 0 0 0 0 0 0 0 0  21
* f   1 0 0 0 0 0 0 0 0 0 0  0
* f   0 1 0 0 0 0 0 0 0 0 0  0
* f   0 0 0 0 0 1 0 0 0 0 0  0
* f   0 0 1 0 0 0 0 0 0 0 0  0
* f   0 0 0 0 0 0 1 0 0 0 0  0
* f   0 0 0 1 0 0 0 0 0 0 0  1
* f   0 0 0 0 0 0 0 1 0 0 0  1
* f   0 0 0 0 0 0 0 0 0 1 0  1
* f   0 0 0 1 0 0 0 0 0 0 0  2
* f   0 0 0 0 0 0 0 1 0 0 0  2
* f   0 0 0 0 0 0 0 0 0 1 0  2
* f   1 0 0 0 0 0 0 0 0 0 0  3
* f   0 1 0 0 0 0 0 0 0 0 0  3
* f   0 0 0 0 0 1 0 0 0 0 0  3
* f   0 0 1 0 0 0 0 0 0 0 0  3
* f   0 0 0 0 0 0 1 0 0 0 0  3
* f   0 0 0 1 0 0 0 0 0 0 0  4
* f   0 0 0 0 0 0 0 1 0 0 0  4
* f   0 0 0 0 0 0 0 0 0 1 0  4
* f   0 0 0 1 0 0 0 0 0 0 0  5
* f   0 0 0 0 0 0 0 1 0 0 0  5
* f   0 0 0 0 0 0 0 0 0 1 0  5
* f   1 0 0 0 0 0 0 0 0 0 0  6
* f   0 1 0 0 0 0 0 0 0 0 0  6
* f   0 0 0 0 0 1 0 0 0 0 0  6
* f   0 0 1 0 0 0 0 0 0 0 0  6
* f   0 0 0 0 0 0 1 0 0 0 0  6
* f   0 0 0 1 0 0 0 0 0 0 0  7
* f   0 0 0 0 0 0 0 1 0 0 0  7
* f   0 0 0 0 0 0 0 0 0 1 0  7
* f   0 0 0 1 0 0 0 0 0 0 0  8
* f   0 0 0 0 0 0 0 1 0 0 0  8
* f   0 0 0 0 0 0 0 0 0 1 0  8
* f   1 0 0 0 0 0 0 0 0 0 0  9
* f   0 1 0 0 0 0 0 0 0 0 0  9
* f   0 0 0 0 0 1 0 0 0 0 0  9
* f   0 0 1 0 0 0 0 0 0 0 0  9
* f   0 0 0 0 0 0 1 0 0 0 0  9
* f   0 0 0 1 0 0 0 0 0 0 0  10
* f   0 0 0 0 0 0 0 1 0 0 0  10
* f   0 0 0 0 0 0 0 0 0 1 0  10
* f   0 0 0 1 0 0 0 0 0 0 0  11
* f   0 0 0 0 0 0 0 1 0 0 0  11
* f   0 0 0 0 0 0 0 0 0 1 0  11
* f   1 0 0 0 0 0 0 0 0 0 0  12
* f   0 1 0 0 0 0 0 0 0 0 0  12
* f   0 0 0 0 0 1 0 0 0 0 0  12
* f   0 0 1 0 0 0 0 0 0 0 0  12
* f   0 0 0 0 0 0 1 0 0 0 0  12
* f   0 0 0 1 0 0 0 0 0 0 0  13
* f   0 0 0 0 0 0 0 1 0 0 0  13
* f   0 0 0 0 0 0 0 0 0 1 0  13
* f   0 0 0 1 0 0 0 0 0 0 0  14
* f   0 0 0 0 0 0 0 1 0 0 0  14
* f   0 0 0 0 0 0 0 0 0 1 0  14
* f   1 0 0 0 0 0 0 0 0 0 0  15
* f   0 1 0 0 0 0 0 0 0 0 0  15
* f   0 0 0 0 0 1 0 0 0 0 0  15
* f   0 0 1 0 0 0 0 0 0 0 0  15
* f   0 0 0 0 0 0 1 0 0 0 0  15
* f   0 0 0 1 0 0 0 0 0 0 0  16
* f   0 0 0 0 0 0 0 1 0 0 0  16
